이름,그룹,소속사,성별,생년월일,키,혈액형,브랜드평판지수
지민,방탄소년단,빅히트,남자,1995-10-13,174,A,6267302
정국,방탄소년단,빅히트,남자,1997-09-01,179,A,5805844
민지,뉴진스,어도어,여자,2004-05-07,169,A,4437081
하니,뉴진스,어도어,여자,2004-10-06,161.7,O,4161153
뷔,방탄소년단,빅히트,남자,1995-12-30,179,AB,3470048
다니엘,뉴진스,어도어,여자,2005-04-11,165,,2341271
혜인,뉴진스,어도어,여자,2008-04-21,170,O,2301785
지수,블랙핑크,와이지,여자,1995-01-03,162,A,2227460
해린,뉴진스,어도어,여자,2006-05-15,164.5,B,2173376
태연,소녀시대,에스엠,여자,1989-03-09,,A,2079866
RM,방탄소년단,빅히트,남자,1994-09-12,181,A,2069499
제니,블랙핑크,와이지,여자,1996-01-16,163,B,2069250
옹성우,워너원,판타지오,남자,1995-08-25,179,A,1954327
리사,블랙핑크,와이지,여자,1997-03-27,167,A,1912800
로제,블랙핑크,와이지,여자,1997-02-11,168,B,1888132
윤아,소녀시대,에스엠,여자,1990-05-30,168,B,1885297
조이,레드벨벳,빅히트,여자,1996-09-03,168,A,1830514
슬기,레드벨벳,빅히트,여자,1994-02-10,161,A,1741767
강다니엘,워너원,,남자,1996-12-10,182,A,1706444
진,방탄소년단,빅히트,남자,1992-12-04,179,O,1680587
